,0,1,2,3,4,5,6,7,8,9
71,6.71971367438573e-11,6.211342551409871e-11,6.615974434964755e-11,6.913247752038387e-11,6.630851423494732e-11,6.61157795178724e-11,6.711631250766459e-11,6.443579003700961e-11,6.382322448317268e-11,6.943734476294594e-11
72,6.474110136878153e-11,6.042899514113742e-11,6.481237768696246e-11,6.749512060366669e-11,6.395173279827304e-11,6.453659828764557e-11,6.459832668781473e-11,6.306666300304187e-11,6.178685341140522e-11,6.77728984044279e-11
73,6.296341226175173e-11,5.875500086460761e-11,6.338041202980094e-11,6.586309275746771e-11,6.175437938793493e-11,6.305600486200547e-11,6.384559547711888e-11,6.182299117085677e-11,5.982886408517629e-11,6.579425892994095e-11
74,6.179723399668546e-11,5.735967256725871e-11,6.153810794273795e-11,6.3676397488166e-11,5.970779426434092e-11,6.141176456253561e-11,6.217182324519399e-11,6.001643626518671e-11,5.81328873927589e-11,6.440670219376443e-11
75,5.949374326519319e-11,5.6195936792846624e-11,5.929923219127886e-11,6.229128324264366e-11,5.8020033222305756e-11,6.089551085608491e-11,6.08413319724832e-11,5.839062566792563e-11,5.664718694120552e-11,6.280598263685988e-11
76,5.849720707828965e-11,5.548050907577817e-11,5.7347904203197686e-11,6.093947568786007e-11,5.665312663438726e-11,5.94087001815069e-11,5.979594597249616e-11,5.7136073650099206e-11,5.5107751695260276e-11,6.129696750178937e-11
77,5.736833230685079e-11,5.4090509848947477e-11,5.573497219302226e-11,5.983480377835804e-11,5.5258686515458066e-11,5.746403353157348e-11,5.8122839874386045e-11,5.5342841420724653e-11,5.405348391107623e-11,5.996914076433768e-11
78,5.561973104306617e-11,5.294720217818849e-11,5.4158455498054536e-11,5.7733151592742615e-11,5.3999471560928214e-11,5.572942107789913e-11,5.704214878221592e-11,5.387934542966377e-11,5.26046428639404e-11,5.837508254558088e-11
79,5.4753312994648695e-11,5.136291392204839e-11,5.313616213697969e-11,5.6626259237191334e-11,5.262501545644227e-11,5.501332722701591e-11,5.5154547595748227e-11,5.268319114293263e-11,5.1163129288767095e-11,5.736255914712274e-11
80,5.299316541140797e-11,4.988209845180336e-11,5.163247607242738e-11,5.5224269601694687e-11,5.1241233478549475e-11,5.3876458849799747e-11,5.379718892584151e-11,5.134914715654304e-11,5.001243863489435e-11,5.574207762037986e-11
81,5.153411031244559e-11,4.888733862173922e-11,4.9930504175677015e-11,5.442024608726115e-11,5.0242476845596684e-11,5.2440274345144644e-11,5.227995814038877e-11,5.0487836134038844e-11,4.913491835623063e-11,5.4261262150134826e-11
82,5.020428517354958e-11,4.759970195777896e-11,4.8864245982827015e-11,5.334177544114027e-11,4.8976822597524006e-11,5.1322057714742186e-11,5.05477881773686e-11,4.9247272926322694e-11,4.80373518740862e-11,5.278133485830949e-11
83,4.840861045352085e-11,4.640976491998572e-11,4.778755169354554e-11,5.184697116078496e-11,4.7654546975195444e-11,4.99933427988708e-11,4.948819132266635e-11,4.823919041996305e-11,4.69915217848893e-11,5.155431637149377e-11
84,4.740541292846956e-11,4.548472709586804e-11,4.657807473051889e-11,5.079514586725509e-11,4.67892391498026e-11,4.9034110105594664e-11,4.7949422210535886e-11,4.7060577657020985e-11,4.558065036519565e-11,5.096745248067691e-11
85,4.604561176790867e-11,4.466160774541095e-11,4.5186299146848796e-11,4.993694346921984e-11,4.5885295563152795e-11,4.7634785005357116e-11,4.6995740632382876e-11,4.603872838515599e-11,4.448952317659405e-11,5.05202546463579e-11
86,4.50506298932396e-11,4.3547609962502065e-11,4.384870244678041e-11,4.848588197603476e-11,4.481126580913042e-11,4.679123755124692e-11,4.572453526918707e-11,4.50399717522032e-11,4.3264725135827575e-11,4.890554627934307e-11
87,4.409739240429644e-11,4.2589043403040705e-11,4.2917447373724826e-11,4.759170835200166e-11,4.343747583845925e-11,4.621214522160244e-11,4.488631688559508e-11,4.399103303853735e-11,4.2732928307032125e-11,4.774736162005411e-11
